mean;std;skew;kurt;RMS;crest;freq_peak;shan;perm;temp;tohn/hour
0.023923681;0.999510774;-0.046819936;-1.601403515;0.999787052;0.936407812;526.0105202;8.557578985;0.948882484;21.21;3.55
0.023923681;0.999510774;-0.046819936;-1.601403515;0.999787052;0.936407812;526.0105202;8.557578985;0.948882484;21.21;3.55
0.01263317;0.993694472;-0.015849752;-1.587792108;0.993764837;0.928548346;530.0106002;8.574793389;0.957450496;21.21;3.55
0.01263317;0.993694472;-0.015849752;-1.587792108;0.993764837;0.928548346;530.0106002;8.574793389;0.957450496;21.21;3.55
0.03649586;0.994292365;-0.056882706;-1.591795003;0.994952;0.954489157;528.0105602;8.666603533;0.95754497;21.21;3.55
0.03649586;0.994292365;-0.056882706;-1.591795003;0.994952;0.954489157;528.0105602;8.666603533;0.95754497;21.21;3.55
0.02962235;0.986497309;-0.04895702;-1.573803628;0.986932095;0.94821017;532.0106402;8.792623985;0.967514011;21.21;3.55
0.02962235;0.986497309;-0.04895702;-1.573803628;0.986932095;0.94821017;532.0106402;8.792623985;0.967514011;21.21;3.55
0.036558708;0.995379268;-0.068928439;-1.592549951;0.996040466;0.961639168;258.0051601;8.667014382;0.970803159;21.21;3.58
0.036558708;0.995379268;-0.068928439;-1.592549951;0.996040466;0.961639168;258.0051601;8.667014382;0.970803159;21.21;3.58
0.023015563;0.981187001;-0.032926184;-1.561872635;0.98144709;0.961906612;276.0055201;8.866234584;0.97091612;21.21;3.58
0.023015563;0.981187001;-0.032926184;-1.561872635;0.98144709;0.961906612;276.0055201;8.866234584;0.97091612;21.21;3.58
0.019703516;0.997778215;-0.018481587;-1.600850757;0.997962766;0.962159715;528.0105602;8.557749245;0.96827118;21.22;3.55
0.019703516;0.997778215;-0.018481587;-1.600850757;0.997962766;0.962159715;528.0105602;8.557749245;0.96827118;21.22;3.55
0.033180573;0.983122719;-0.052868202;-1.575577172;0.983672659;0.962085875;528.0105602;9.003350696;0.997291474;21.22;3.55
0.033180573;0.983122719;-0.052868202;-1.575577172;0.983672659;0.962085875;528.0105602;9.003350696;0.997291474;21.22;3.55
0.030026469;0.993214669;-0.050584831;-1.590841066;0.993658512;0.983798992;266.0053201;8.695797929;0.98811632;21.22;3.55
0.030026469;0.993214669;-0.050584831;-1.590841066;0.993658512;0.983798992;266.0053201;8.695797929;0.98811632;21.22;3.55
0.043227901;0.977532382;-0.079813083;-1.554780699;0.97847795;0.998265293;530.0106002;9.00042356;0.995225524;21.22;3.55
0.043227901;0.977532382;-0.079813083;-1.554780699;0.97847795;0.998265293;530.0106002;9.00042356;0.995225524;21.22;3.55
0.024892089;0.967724624;-0.050591713;-1.533271505;0.968035038;1.015953214;528.0105602;9.109582441;1.004292936;21.23;3.53
0.024892089;0.967724624;-0.050591713;-1.533271505;0.968035038;1.015953214;528.0105602;9.109582441;1.004292936;21.23;3.53
0.039484198;0.983701313;-0.053199319;-1.570390659;0.984483581;1.045963691;256.0051201;8.858890622;0.975800705;21.23;3.53
0.039484198;0.983701313;-0.053199319;-1.570390659;0.984483581;1.045963691;256.0051201;8.858890622;0.975800705;21.23;3.53
0.03620753;0.964011085;-0.07597795;-1.527933242;0.964681176;1.048704111;526.0105202;9.266682804;1.01217996;21.23;3.53
0.03620753;0.964011085;-0.07597795;-1.527933242;0.964681176;1.048704111;526.0105202;9.266682804;1.01217996;21.23;3.53
0.039399335;0.981177149;-0.070679707;-1.565089663;0.981958069;1.03605952;530.0106002;9.017768447;0.990974391;21.23;3.53
0.039399335;0.981177149;-0.070679707;-1.565089663;0.981958069;1.03605952;530.0106002;9.017768447;0.990974391;21.23;3.53
0.044637023;0.966839638;-0.085452148;-1.530118915;0.967859832;1.047204863;528.0105602;9.150092851;1.017011947;21.25;3.53
0.044637023;0.966839638;-0.085452148;-1.530118915;0.967859832;1.047204863;528.0105602;9.150092851;1.017011947;21.25;3.53
0.036011916;0.990999429;-0.055891008;-1.582657862;0.991643628;1.034049875;526.0105202;8.716015449;0.96359928;21.25;3.53
0.036011916;0.990999429;-0.055891008;-1.582657862;0.991643628;1.034049875;526.0105202;8.716015449;0.96359928;21.25;3.53
0.02477283;0.911247825;-0.065353974;-1.410901482;0.911575385;1.040794114;164.0032801;10.22582799;1.126831493;23.12;3.01
